City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Guaruja,BR,2023-01-14 04:12:39,-23.9931,-46.2564,75.88,26,91,1.01
272,Calabar,NG,2023-01-14 04:12:40,4.9517,8.322,72.46,92,16,2.89
273,Rubiataba,BR,2023-01-14 04:12:40,-15.1644,-49.8033,68.79,94,100,2.08
274,Turochak,RU,2023-01-14 04:12:40,52.2576,87.1224,8.08,95,100,1.5
275,Ati,TD,2023-01-14 04:12:41,13.2154,18.3353,61.3,17,0,8.03
276,Purpe,RU,2023-01-14 04:12:43,64.4803,76.6897,0.32,98,97,5.79
277,Natal,BR,2023-01-14 04:12:43,-5.795,-35.2094,77.65,88,20,3.44
278,San Luis,AR,2023-01-14 04:11:29,-33.295,-66.3356,68.99,32,0,10.51
279,Nouadhibou,MR,2023-01-14 04:12:45,20.931,-17.0347,66.36,56,0,12.77
280,Lafia,NG,2023-01-14 04:12:46,8.4833,8.5167,70.84,24,99,3.13
281,Were Ilu,ET,2023-01-14 04:12:47,10.6,39.4333,45.05,66,44,5.21
282,Rocha,UY,2023-01-14 04:12:49,-34.4833,-54.3333,61.16,87,99,4.88
283,Batouri,CM,2023-01-14 04:12:49,4.4333,14.3667,65.79,39,26,1.99
284,Doka,SD,2023-01-14 04:12:49,13.5167,35.7667,68.92,65,98,11.92
285,Santa Maria,BR,2023-01-14 04:12:50,-29.6842,-53.8069,66.51,95,100,3.02
286,Najran,SA,2023-01-14 04:12:51,17.4924,44.1277,57.58,56,77,0.56
287,Asuncion,PY,2023-01-14 04:08:00,-25.3007,-57.6359,67.44,94,0,0.0
288,Carlisle,US,2023-01-14 04:12:52,40.2015,-77.1889,35.64,69,73,4.0
289,Padang,ID,2023-01-14 04:12:53,-0.9492,100.3543,84.25,75,99,0.29
290,Aksu,CN,2023-01-14 04:12:54,41.1231,80.2644,16.12,90,100,1.7
291,Mushie,CD,2023-01-14 04:12:55,-3.0167,16.9,69.28,93,59,2.15
292,Muisne,EC,2023-01-14 04:12:56,0.6,-80.0333,76.28,84,98,5.28
